Source	Target	Type
ENSG00000012504	ENSG00000131910	regulate
ENSG00000006194	ENSG00000136997	regulate
ENSG00000103495	ENSG00000136997	regulate
ENSG00000109320	ENSG00000141510	regulate
ENSG00000112592	ENSG00000131910	regulate
ENSG00000120738	ENSG00000179348	regulate
ENSG00000120738	ENSG00000166886	regulate
ENSG00000120738	ENSG00000100030	regulate
ENSG00000120738	ENSG00000069667	regulate
ENSG00000120738	ENSG00000138386	regulate
ENSG00000129514	ENSG00000196781	regulate
ENSG00000129514	ENSG00000135547	regulate
ENSG00000129514	ENSG00000091831	regulate
ENSG00000129514	ENSG00000129514	regulate
ENSG00000129514	ENSG00000173334	regulate
ENSG00000129514	ENSG00000141376	regulate
ENSG00000130726	ENSG00000143799	regulate
ENSG00000130726	ENSG00000177606	regulate
ENSG00000130726	ENSG00000163565	regulate
ENSG00000135457	ENSG00000007372	regulate
ENSG00000116016	ENSG00000069667	regulate
ENSG00000116016	ENSG00000137193	regulate
ENSG00000116016	ENSG00000171223	regulate
ENSG00000102974	ENSG00000078900	regulate
ENSG00000102974	ENSG00000173673	regulate
ENSG00000102974	ENSG00000188290	regulate
ENSG00000102974	ENSG00000197921	regulate
ENSG00000102974	ENSG00000116288	regulate
ENSG00000073282	ENSG00000106546	regulate
ENSG00000112658	ENSG00000170345	regulate
ENSG00000147596	ENSG00000131759	regulate
ENSG00000147596	ENSG00000148516	regulate
ENSG00000147596	ENSG00000179111	regulate
ENSG00000147596	ENSG00000071575	regulate
ENSG00000147596	ENSG00000089225	regulate
ENSG00000147596	ENSG00000183337	regulate
ENSG00000147596	ENSG00000145675	regulate
ENSG00000170345	ENSG00000185591	regulate
ENSG00000170345	ENSG00000087095	regulate
ENSG00000170345	ENSG00000141376	regulate
ENSG00000170345	ENSG00000066136	regulate
ENSG00000170345	ENSG00000156650	regulate
ENSG00000172059	ENSG00000139515	regulate
ENSG00000101076	ENSG00000186951	regulate
ENSG00000101076	ENSG00000131910	regulate
ENSG00000101076	ENSG00000078900	regulate
ENSG00000101076	ENSG00000188290	regulate
ENSG00000101076	ENSG00000116288	regulate
ENSG00000179284	ENSG00000141510	regulate
ENSG00000144730	ENSG00000007372	regulate
ENSG00000177374	ENSG00000096717	regulate
ENSG00000185591	ENSG00000177606	regulate
ENSG00000185591	ENSG00000139687	regulate
ENSG00000100644	ENSG00000129315	regulate
ENSG00000100644	ENSG00000125629	regulate
ENSG00000100644	ENSG00000130522	regulate
ENSG00000100644	ENSG00000177606	regulate
ENSG00000100644	ENSG00000100320	regulate
ENSG00000100644	ENSG00000171497	regulate
ENSG00000068305	ENSG00000177606	regulate
ENSG00000140009	ENSG00000188290	regulate
ENSG00000179348	ENSG00000004487	regulate
ENSG00000179348	ENSG00000007968	regulate
ENSG00000179348	ENSG00000117318	regulate
ENSG00000179348	ENSG00000120656	regulate
ENSG00000179348	ENSG00000069812	regulate
ENSG00000001167	ENSG00000141510	regulate
ENSG00000111206	ENSG00000091831	regulate
ENSG00000111206	ENSG00000136997	regulate
ENSG00000101412	ENSG00000136997	regulate
ENSG00000101412	ENSG00000101412	regulate
ENSG00000101412	ENSG00000004487	regulate
ENSG00000101412	ENSG00000078900	regulate
ENSG00000101412	ENSG00000188290	regulate
ENSG00000101412	ENSG00000120656	regulate
ENSG00000118689	ENSG00000125968	regulate
ENSG00000118689	ENSG00000091831	regulate
ENSG00000127616	ENSG00000116288	regulate
ENSG00000127616	ENSG00000197921	regulate
ENSG00000127616	ENSG00000173673	regulate
ENSG00000159216	ENSG00000173334	regulate
ENSG00000159216	ENSG00000005339	regulate
ENSG00000159216	ENSG00000196781	regulate
ENSG00000118260	ENSG00000170345	regulate
ENSG00000186350	ENSG00000134954	regulate
ENSG00000186350	ENSG00000131759	regulate
ENSG00000186350	ENSG00000122592	regulate
ENSG00000186350	ENSG00000129514	regulate
ENSG00000143437	ENSG00000134954	regulate
ENSG00000115415	ENSG00000170345	regulate
ENSG00000115415	ENSG00000147099	regulate
ENSG00000115415	ENSG00000066136	regulate
ENSG00000115415	ENSG00000168610	regulate
ENSG00000162599	ENSG00000141510	regulate
ENSG00000177606	ENSG00000177606	regulate
ENSG00000177606	ENSG00000170345	regulate
ENSG00000162367	ENSG00000120656	regulate
ENSG00000162367	ENSG00000162599	regulate
ENSG00000205250	ENSG00000116288	regulate
ENSG00000205250	ENSG00000004487	regulate
ENSG00000205250	ENSG00000120656	regulate
ENSG00000205250	ENSG00000116478	regulate
