ensembl	symbol	entrez	uniprot
ENSG00000271567	PPIAL4E	730262	A0A075B759
ENSG00000281991	TMEM265	100862671	A0A087WTH1
ENSG00000276289	KCNE1B	102723475	A0A087WTH5
ENSG00000271383	NBPF19	101060226	A0A087WUL8
ENSG00000274419	TBC1D3D	101060389	A0A087WVF3
ENSG00000239642	MEIKIN	728637	A0A087WXM9
ENSG00000274933	TBC1D3I	102724862	A0A087WXS9
ENSG00000275861	TBC1D3I	102724862	A0A087WXS9
ENSG00000282144	TBC1D3I	102724862	A0A087WXS9
ENSG00000278599	TBC1D3E	102723859	A0A087X179
ENSG00000273513	TBC1D3K	101060351	A0A087X1G2
ENSG00000273513	TBC1D3K	102723859	A0A087X1G2
ENSG00000260220	CCDC187	399693	A0A096LP49
ENSG00000233954	UQCRHL	440567	A0A096LP55
ENSG00000279968	GVQW2	100507462	A0A096LPI5
ENSG00000263464	PPIAL4C	653598	A0A0B4J2A2
ENSG00000225973	PIGBOS1	101928527	A0A0B4J2F0
ENSG00000282815	TEX13C	100129520	A0A0J9YWL9
ENSG00000235942	LCE6A	448835	A0A183
ENSG00000275520	LINC00684	100132304	A0A1B0GUQ0
ENSG00000275520	LINC00684	100129407	A0A1B0GUQ0
ENSG00000235387	LINC00961	158376	A0A1B0GVQ0
ENSG00000144445	KANSL1L	151050	A0AUZ9
ENSG00000221955	SLC12A8	84561	A0AV02
ENSG00000163694	RBM47	54502	A0AV96
ENSG00000105948	TTC26	79989	A0AVF1
ENSG00000249715	FER1L5	90342	A0AVI2
ENSG00000168936	TMEM129	92305	A0AVI4
ENSG00000129173	E2F8	79733	A0AVK6
ENSG00000033178	UBA6	55236	A0AVT1
ENSG00000117868	ESYT2	57488	A0FGR8
ENSG00000158220	ESYT3	83850	A0FGR9
ENSG00000156603	MED19	219541	A0JLT2
ENSG00000111647	UHRF1BP1L	23074	A0JNW5
ENSG00000278522	POTEB3	102724631	A0JP26
ENSG00000278522	POTEB3	102723502	A0JP26
ENSG00000187164	SHTN1	57698	A0MZ66
ENSG00000231213	PLSCR5	389158	A0PG75
ENSG00000102796	DHRS12	79758	A0PJE2
ENSG00000154025	SLC5A10	125206	A0PJK1
ENSG00000168569	TMEM223	79064	A0PJW6
ENSG00000163331	DAPL1	92196	A0PJW8
ENSG00000157884	CIB4	130106	A0PJX0
ENSG00000101342	TLDC2	140711	A0PJX2
ENSG00000178343	SHISA3	152573	A0PJX4
ENSG00000162460	TMEM82	388595	A0PJX8
ENSG00000128610	FEZF1	389549	A0PJY2
ENSG00000172986	GXYLT2	727936	A0PJZ3
ENSG00000188735	TMEM120B	144404	A0PK00
ENSG00000187783	TMEM72	643236	A0PK05
ENSG00000249581	CLRN2	645104	A0PK11
ENSG00000174899	PQLC2L	152078	A1A4F0
ENSG00000206535	LNP1	348801	A1A4G5
ENSG00000071205	ARHGAP10	79658	A1A4S6
ENSG00000196118	CCDC189	90835	A1A4V9
ENSG00000237693	IRGM	345611	A1A4Y4
ENSG00000164334	FAM170A	340069	A1A519
ENSG00000186980	KRTAP23-1	337963	A1A580
ENSG00000185101	ANO9	338440	A1A5B4
ENSG00000137266	SLC22A23	63027	A1A5C7
ENSG00000162069	CCDC64B	146439	A1A5D9
ENSG00000109205	ODAM	54959	A1E959
ENSG00000183111	ARHGEF37	389337	A1IGU5
ENSG00000152102	FAM168B	130074	A1KXE4
ENSG00000147485	PXDNL	137902	A1KZ92
